Index,Location,Section,Check,Name,Item_Required
0,Motherlobe,NULL,ML_PsiCard1_Check,Otto's Vendor,Motherlobe_Access
1,Motherlobe,NULL,ML_PsiCard2_Check,Bushes near Nerve Center,Motherlobe_Access
2,Motherlobe,NULL,ML_PsiCard3_Check,Classroom Hall Entrance,Motherlobe_Access
3,Motherlobe,NULL,ML_PsiCard4_Check,Ivy in Hallway,Motherlobe_Access
4,Motherlobe,NULL,ML_PsiCard5_Check,Artifact Storage Room,Motherlobe_Access
5,Motherlobe,NULL,ML_PsiCard6_Check,Sasha's Lab,Motherlobe_Access
6,Motherlobe,NULL,ML_PsiCard7_Check,Between Milla & Sasha's Offices,Motherlobe_Access
7,Motherlobe,NULL,ML_PsiCard8_Check,Milla's Office,Motherlobe_Access
8,Motherlobe,NULL,ML_PsiCard9_Check,Noodle Bar Ivy,Motherlobe_Access
9,Motherlobe,NULL,ML_PsiCard10_Check,Noodle Bar Light Fixture,Motherlobe_Access
10,Motherlobe,NULL,ML_PsiCard11_Check,Nerve Center Under Stairs,Motherlobe_Access
11,Motherlobe,NULL,ML_PsiCard12_Check,Nerve Center Chair,Motherlobe_Access
12,Motherlobe,NULL,ML_PsiCard13_Check,Truman's Office Pond,Motherlobe_Access
13,Motherlobe,NULL,ML_PsiCard14_Check,Truman's Office Shelf,Motherlobe_Access
14,Motherlobe,NULL,ML_PsiCard15_Check,Truman's Boardroom,Motherlobe_Access
15,Motherlobe,NULL,ML_PsiCard16_Check,Intern Lockers,Motherlobe_Access
16,Motherlobe,NULL,ML_PsiCard17_Check,Intern Classroom,Motherlobe_Access
17,Motherlobe,NULL,ML_PsiCard18_Check,Mailroom Entrance,Motherlobe_Access
18,Motherlobe,NULL,ML_PsiCard19_Check,Mailroom Entrance 2,Motherlobe_Access
19,Motherlobe,NULL,ML_PsiCard20_Check,Mailroom on Package,Motherlobe_Access
20,Motherlobe,NULL,ML_PsiCard21_Check,Mailroom Upper Conveyor,Motherlobe_Access
21,Motherlobe,NULL,ML_PsiCard22_Check,Mailroom Upper Conveyor 2,Motherlobe_Access
22,Motherlobe,NULL,ML_PsiCard23_Check,Ford's Barbershop,Motherlobe_Access
23,Motherlobe,NULL,ML_PsiCard24_Check,Atrium Floating Platform 1,"MentalConnection, Motherlobe_Access, ThoughtTuner"
24,Motherlobe,NULL,ML_PsiCard25_Check,Atrium Floating Platform 2,"MentalConnection, Motherlobe_Access, ThoughtTuner"
25,Motherlobe,NULL,ML_PsiCard26_Check,Bowling Alley Shoe Counter,"Motherlobe_Access, Senior_League_Card"
26,Motherlobe,NULL,ML_PsiCard27_Check,Bowling Alley Lane,"Motherlobe_Access, Senior_League_Card"
27,Motherlobe,NULL,ML_SupplyChests1_Check,Noodle Bar,Motherlobe_Access
28,Motherlobe,NULL,ML_SupplyChests2_Check,Artifact Storage,Motherlobe_Access
29,Motherlobe,NULL,ML_SupplyChests3_Check,Nerve Center,"MentalConnection, Motherlobe_Access"
30,Motherlobe,NULL,ML_SupplyChests4_Check,Ford's Barbershop,Motherlobe_Access
31,Motherlobe,NULL,ML_SupplyChests5_Check,Bowling Alley,"Motherlobe_Access, Senior_League_Card"
32,Motherlobe,NULL,ML_SupplyChests6_Check,Mailroom Office,Motherlobe_Access
33,Motherlobe,NULL,ML_SupplyKey1_Check,Artifact Room Key,Motherlobe_Access
34,Motherlobe,NULL,ML_SupplyKey2_Check,Milla's Office Key,Motherlobe_Access
35,Motherlobe,NULL,ML_SupplyKey3_Check,Hollis' Office Key,Motherlobe_Access
36,Motherlobe,NULL,ML_SupplyKey4_Check,Mailroom Stairs Key,Motherlobe_Access
37,Motherlobe,NULL,ML_SupplyKey5_Check,Truman's Office Key,Motherlobe_Access
38,Motherlobe,NULL,ML_SupplyKey6_Check,Mailroom Fan Key,"TimeBubble, Motherlobe_Access"
39,Motherlobe,NULL,ML_PsyChallengeMarkers1_Check,Sasha's Office,Motherlobe_Access
40,Motherlobe,NULL,ML_PsyChallengeMarkers2_Check,Noodle Bar,Motherlobe_Access
41,Motherlobe,NULL,ML_PsyChallengeMarkers3_Check,Intern Classroom,Motherlobe_Access
42,Motherlobe,NULL,ML_PsyChallengeMarkers4_Check,Truman's Boardroom,Motherlobe_Access
43,Motherlobe,NULL,ML_PsyChallengeMarkers5_Check,Atrium Floating Platform,"MentalConnection, Motherlobe_Access, ThoughtTuner"
44,Motherlobe,NULL,ML_PsyChallengeMarkers6_Check,Bowling Alley,"Motherlobe_Access, Senior_League_Card"
45,Motherlobe,NULL,ML_PsyChallengeMarkers7_Check,Mailroom,Motherlobe_Access
46,Motherlobe,NULL,ML_PsyChallengeMarkers8_Check,Mailroom 2 behind door,"Projection, Motherlobe_Access"
47,Motherlobe,NULL,DayOldSushi_check,Day Old Sushi,Motherlobe_Access
48,Motherlobe,NULL,EnemySurveillanceDevice_check,Enemy Surveillance Device,"Projection, Motherlobe_Access"
49,Motherlobe,NULL,NamePlaque_check,Name Plaque,Motherlobe_Access
50,Motherlobe,NULL,DeckOfCards_check,Deck of Cards,"Telekinesis, Motherlobe_Access, Senior_League_Card"
51,Motherlobe,NULL,AstronautIceCream_check,Astronaut Ice Cream,Motherlobe_Access
52,Motherlobe,NULL,Classic_Outfit_check,Scav Hunt Bathroom Check 1,"Motherlobe_Access, All_ScavHunt_Items"
53,Motherlobe,NULL,Circus_Outfit_check,Scav Hunt Bathroom Check 2,"Motherlobe_Access, All_ScavHunt_Items"
54,Motherlobe,NULL,Suit_Outfit_check,Scav Hunt Bathroom Check 3,"Motherlobe_Access, All_ScavHunt_Items"
55,Quarry,NULL,Quarry_PsiCard1_check,Jet Tail,Quarry_Access
56,Quarry,NULL,Quarry_PsiCard2_check,Log in Water,Quarry_Access
57,Quarry,NULL,Quarry_PsiCard3_check,Rock Ivy before Lili's Garden,Quarry_Access
58,Quarry,NULL,Quarry_PsiCard4_check,Rock Wall below Lili's Garden,Quarry_Access
59,Quarry,NULL,Quarry_PsiCard5_check,Otto's Lab,Quarry_Access
60,Quarry,NULL,Quarry_PsiCard6_check,Otto's Lab 2,Quarry_Access
61,Quarry,NULL,Quarry_PsiCard7_check,Otto's Lab 3 behind fan,"TimeBubble, Quarry_Access"
62,Quarry,NULL,Quarry_PsiCard8_check,Motherlobe Scaffolding,Quarry_Access
63,Quarry,NULL,Quarry_PsiCard9_check,Treehouse,Quarry_Access
64,Quarry,NULL,Quarry_PsiCard10_check,Treehouse 2,Quarry_Access
65,Quarry,NULL,Quarry_PsiCard11_check,Lower Dam,Quarry_Access
66,Quarry,NULL,Quarry_PsiCard12_check,Tightrope Outside Psychoisolation,Quarry_Access
67,Quarry,NULL,Quarry_PsiCard13_check,Top of Psychoisolation,Quarry_Access
68,Quarry,NULL,Quarry_PsiCard14_check,Grindrail outside Psychoisolation,Quarry_Access
69,Quarry,NULL,Quarry_PsiCard15_check,Path to Blastcap Becky's Cave,Quarry_Access
70,Quarry,NULL,Quarry_PsiCard16_check,Path to Questionable Area,Quarry_Access
71,Quarry,NULL,Quarry_PsiCard17_check,Back of Blastcap Becky's Cave,Quarry_Access
72,Quarry,NULL,Quarry_PsiCard18_check,Blastcap Becky's Cave Grindrail,Quarry_Access
73,Quarry,NULL,Quarry_SupplyChests1_check,Motherlobe Support Beams,Quarry_Access
74,Quarry,NULL,Quarry_SupplyChests2_check,Treehouse,Quarry_Access
75,Quarry,NULL,Quarry_SupplyChests3_check,Otto's Lab,Quarry_Access
76,Quarry,NULL,Quarry_SupplyChests4_check,Ivy Rock Island,Quarry_Access
77,Quarry,NULL,Quarry_SupplyKey1_check,Motherlobe Upper Floor Key,"Levitation, Quarry_Access"
78,Quarry,NULL,Quarry_SupplyKey2_check,Dam Generator Key,Quarry_Access
79,Quarry,NULL,Quarry_SupplyKey3_check,Otto's Lab Exterior Key,Quarry_Access
80,Quarry,NULL,Quarry_SupplyKey4_check,Otto's Lab Fan Key,"TimeBubble, Quarry_Access"
81,Quarry,NULL,Quarry_PsyChallengeMarkers1_check,Pirate Radio Mental Connection,"MentalConnection, Quarry_Access, ThoughtTuner"
82,Quarry,NULL,Quarry_PsyChallengeMarkers2_check,Otto's Workshop Mental Connection,"MentalConnection, Quarry_Access, ThoughtTuner"
83,Quarry,NULL,Quarry_PsyChallengeMarkers3_check,Behind Motherlobe Mental Connection,"MentalConnection, Quarry_Access, ThoughtTuner"
84,Quarry,NULL,Quarry_PsyChallengeMarkers4_check,Dam Cage,Quarry_Access
85,Quarry,NULL,Quarry_PsyChallengeMarkers5_check,Top of Psychoisolation,"Levitation, Quarry_Access"
86,Quarry,NULL,Laserdisc_check,Agent Orientation Laserdisc,"Levitation, Quarry_Access"
87,Quarry,NULL,UnexplodedBomb_check,Unexploded Bomb,"Levitation, Quarry_Access"
88,Quarry,NULL,PsitaniumKnife_check,Psitanium Knife,"Levitation, Quarry_Access"
89,Quarry,NULL,Psychoseismonitor1_check,Blastcap Becky's Cave Psychoseismonitor,Quarry_Access
90,Quarry,NULL,Empty_Jar_Check,Get Jar from Compton,Quarry_Access
91,Questionable Area,NULL,QA_PsiCard1_check,Lumberstack Car,QA_Access
92,Questionable Area,NULL,QA_PsiCard2_check,Lumberstack Inside,QA_Access
93,Questionable Area,NULL,QA_PsiCard3_check,Lumberstack Bathroom,QA_Access
94,Questionable Area,NULL,QA_PsiCard4_check,Between Lumberstack and Tent,QA_Access
95,Questionable Area,NULL,QA_PsiCard5_check,Secret Lumberstack Cave,QA_Access
96,Questionable Area,NULL,QA_PsiCard6_check,Family Camping sign,QA_Access
97,Questionable Area,NULL,QA_PsiCard7_check,Tree outside Lumberstack flagpole,"MentalConnection, QA_Access, ThoughtTuner"
98,Questionable Area,NULL,QA_PsiCard8_check,Sassclops Cave stone,QA_Access
99,Questionable Area,NULL,QA_PsiCard9_check,Sassclops Cave poster,QA_Access
100,Questionable Area,NULL,QA_PsiCard10_check,PSI Challenge Card behind poster,"Levitation, Pyrokinesis, QA_Access"
101,Questionable Area,NULL,QA_PsiCard11_check,Water Wheel,"TimeBubble, QA_Access"
102,Questionable Area,NULL,QA_PsiCard12_check,Playground Springs,QA_Access
103,Questionable Area,NULL,QA_PsiCard13_check,Giant Log Campfire Entrance,QA_Access
104,Questionable Area,NULL,QA_PsiCard14_check,Forgetful Forest Secret Cave,QA_Access
105,Questionable Area,NULL,QA_PsiCard15_check,Campfire Diner Sign,QA_Access
106,Questionable Area,NULL,QA_PsiCard16_check,Campfire Tree near Tightrope and Pole,QA_Access
107,Questionable Area,NULL,QA_PsiCard17_check,Campfire Tree near restrooms,QA_Access
108,Questionable Area,NULL,QA_PsiCard18_check,Inside Restrooms,QA_Access
109,Questionable Area,NULL,QA_PsiCard19_check,Restrooms Flagpole,QA_Access
110,Questionable Area,NULL,QA_PsiCard20_check,Platform above Restrooms,QA_Access
111,Questionable Area,NULL,QA_PsiCard21_check,Platform above Restrooms Ladder,QA_Access
112,Questionable Area,NULL,QA_PsiCard22_check,Bird's Nest,QA_Access
113,Questionable Area,NULL,QA_PsiCard23_check,Funicular Overpass,QA_Access
114,Questionable Area,NULL,QA_PsiCard24_check,Woods near Rundown Cabin,"Telekinesis or TimeBubble, QA_Access"
115,Questionable Area,NULL,QA_PsiCard25_check,Rundown Cabin,"Telekinesis or TimeBubble, QA_Access"
116,Questionable Area,NULL,QA_PsiCard26_check,Tightrope near Funicular,"Telekinesis or TimeBubble, QA_Access"
117,Questionable Area,NULL,QA_PsiCard27_check,Trapeze near Funicular,"Telekinesis or TimeBubble, QA_Access"
118,Questionable Area,NULL,QA_SupplyChests1_check,Secret Lumberstack Cave,QA_Access
119,Questionable Area,NULL,QA_SupplyChests2_check,Sassclops Cave Exit,QA_Access
120,Questionable Area,NULL,QA_SupplyChests3_check,Aquato Camp,"Levitation, Pyrokinesis, QA_Access"
121,Questionable Area,NULL,QA_SupplyChests4_check,Fungus Cave,"TimeBubble, QA_Access"
122,Questionable Area,NULL,QA_SupplyKey1_check,Questionable Area Entrance Cave,QA_Access
123,Questionable Area,NULL,QA_SupplyKey2_check,Aquato Camp Key,"Levitation, Pyrokinesis, QA_Access"
